iter	Passed	Remaining
400	34540	51594
401	34645	51537
402	34745	51471
403	34855	51420
404	34967	51372
405	35138	51409
406	35258	51371
407	35377	51331
408	35475	51261
409	35619	51257
410	35716	51184
411	35808	51105
412	35963	51115
413	36098	51095
414	36203	51033
415	36297	50955
416	36422	50922
417	36530	50862
418	36624	50784
419	36704	50686
420	36807	50621
421	36913	50559
422	36997	50467
423	37087	50383
424	37159	50275
425	37234	50170
426	37322	50083
427	37412	50000
428	37490	49899
429	37579	49814
430	37695	49764
431	37780	49674
432	37855	49570
433	37942	49482
434	38022	49385
435	38106	49294
436	38185	49195
437	38286	49126
438	38368	49030
439	38450	48936
440	38538	48849
441	38617	48752
442	38706	48667
443	38782	48564
444	38861	48468
445	38942	48372
446	39033	48289
447	39123	48205
448	39198	48103
449	39273	48000
450	39347	47896
451	39436	47812
452	39514	47714
453	39599	47624
454	39682	47531
455	39759	47432
456	39836	47333
457	39936	47261
458	40017	47166
459	40098	47072
460	40179	46977
461	40271	46895
462	40355	46805
463	40434	46709
464	40513	46612
465	40595	46518
466	40689	46439
467	40782	46359
468	40862	46264
469	40937	46163
470	41015	46066
471	41132	46012
472	41211	45916
473	41284	45814
474	41367	45721
475	41445	45624
476	41525	45530
477	41605	45435
478	41680	45335
479	41763	45244
480	41848	45154
481	41954	45087
482	42027	44986
483	42098	44881
484	42175	44784
485	42253	44688
486	42334	44594
487	42409	44495
488	42490	44402
489	42570	44308
490	42651	44214
491	42737	44126
492	42814	44030
493	42909	43951
494	42987	43855
495	43063	43757
496	43149	43670
497	43237	43585
498	43331	43504
499	43424	43424
500	43535	43362
501	43641	43293
502	43709	43188
503	43798	43103
504	43878	43009
505	43957	42915
506	44044	42828
507	44161	42770
508	44252	42687
509	44338	42600
510	44420	42507
511	44507	42421
512	44591	42331
513	44676	42243
514	44765	42157
515	44890	42106
516	45023	42062
517	45125	41989
518	45213	41903
519	45318	41832
520	45420	41758
521	45510	41674
522	45612	41600
523	45702	41516
524	45790	41429
525	45895	41358
526	45982	41270
527	46075	41188
528	46161	41100
529	46270	41032
530	46406	40988
531	46491	40898
532	46576	40808
533	46664	40721
534	46743	40627
535	46823	40534
536	46907	40443
537	46985	40347
538	47084	40270
539	47156	40170
540	47224	40066
541	47299	39969
542	47374	39870
543	47448	39773
544	47530	39681
545	47608	39586
546	47678	39485
547	47763	39396
548	47865	39321
549	47950	39232
550	48033	39141
551	48104	39041
552	48179	38944
553	48275	38864
554	48358	38774
555	48439	38681
556	48536	38603
557	48618	38511
558	48693	38414
559	48770	38319
560	48837	38217
561	48937	38140
562	49021	38050
563	49098	37955
564	49176	37861
565	49254	37767
566	49336	37676
567	49421	37588
568	49501	37495
569	49577	37400
570	49661	37311
571	49741	37219
572	49813	37120
573	49885	37023
574	49956	36924
575	50037	36832
576	50116	36740
577	50191	36644
578	50262	36546
579	50335	36450
580	50409	36353
581	50482	36256
582	50550	36156
583	50633	36067
584	50703	35969
585	50789	35881
586	50868	35790
587	50952	35701
588	51030	35608
589	51106	35514
590	51186	35423
591	51256	35325
592	51351	35244
593	51425	35149
594	51504	35057
595	51582	34965
596	51655	34869
597	51743	34784
598	51812	34686
599	51890	34593
600	51958	34494
601	52024	34394
602	52098	34300
603	52172	34205
604	52251	34114
605	52325	34020
606	52401	33927
607	52472	33830
608	52551	33739
609	52659	33667
610	52735	33574
611	52815	33484
612	52889	33390
613	52980	33307
614	53063	33218
615	53139	33125
616	53218	33035
617	53294	32942
618	53370	32850
619	53443	32755
620	53517	32661
621	53594	32570
622	53666	32475
623	53745	32385
624	53822	32293
625	53904	32204
626	53984	32115
627	54063	32024
628	54134	31929
629	54209	31837
630	54292	31749
631	54369	31658
632	54449	31568
633	54557	31495
634	54635	31404
635	54714	31314
636	54800	31228
637	54873	31135
638	54955	31046
639	55032	30955
640	55112	30866
641	55187	30774
642	55260	30680
643	55334	30588
644	55413	30499
645	55490	30408
646	55561	30313
647	55641	30224
648	55734	30142
649	55813	30053
