iter	RMSE	Tweedie:variance_power=1.3
78	9614.607541	555.7110445
79	9614.60312	554.8172533
80	9614.598984	554.0337623
81	9614.59498	553.2990429
82	9614.591135	552.5848821
83	9614.587609	551.9870325
84	9614.584183	551.4035971
85	9614.580979	550.8652013
86	9614.577985	550.3887175
87	9614.575082	549.8884671
88	9614.572331	549.4649737
89	9614.569711	549.0786718
90	9614.567227	548.7111448
91	9614.564868	548.3822288
92	9614.562583	548.046695
93	9614.56052	547.7944595
94	9614.558524	547.5149943
95	9614.556585	547.2567406
96	9614.554724	547.0045828
97	9614.552952	546.7555254
98	9614.551303	546.5249298
99	9614.549677	546.2484362
100	9614.548185	546.0689185
101	9614.546714	545.8553071
102	9614.545379	545.6995958
103	9614.544158	545.5400002
104	9614.542847	545.3505407
105	9614.541631	545.1577804
106	9614.540499	544.9906776
107	9614.539453	544.8698527
108	9614.538469	544.7176181
109	9614.537476	544.5951869
110	9614.536552	544.4480866
111	9614.535665	544.3188613
112	9614.534834	544.2029646
113	9614.534029	544.0779971
114	9614.533284	543.9491601
115	9614.532458	543.8041533
116	9614.531758	543.6903243
117	9614.531097	543.6037319
118	9614.53043	543.5036793
119	9614.52984	543.42527
120	9614.529186	543.2961306
121	9614.528618	543.1955435
122	9614.527993	543.0657555
123	9614.527478	542.992578
124	9614.527023	542.9135641
125	9614.526526	542.820914
126	9614.526095	542.7428145
127	9614.525626	542.6564532
128	9614.525145	542.5687263
129	9614.524659	542.4449667
130	9614.524298	542.3683712
131	9614.523871	542.2552687
132	9614.523541	542.191614
133	9614.523258	542.1529858
134	9614.522879	542.0550114
135	9614.522539	541.9795407
136	9614.52214	541.8800797
137	9614.521811	541.8128194
138	9614.521499	541.7396032
139	9614.521243	541.6657434
140	9614.521	541.6005845
141	9614.520754	541.5378011
142	9614.520438	541.4353448
143	9614.520215	541.3769321
144	9614.519911	541.2929667
145	9614.519664	541.2250383
146	9614.519502	541.1887146
147	9614.519269	541.1040161
148	9614.519021	541.0113136
149	9614.518852	540.9425031
150	9614.518714	540.9035446
151	9614.518531	540.8466378
152	9614.518366	540.7945484
153	9614.518248	540.7650289
154	9614.518084	540.7041539
155	9614.517837	540.6166303
156	9614.517697	540.575833
157	9614.517503	540.4858625
158	9614.517388	540.4555232
159	9614.517172	540.3712494
160	9614.517054	540.3315612
161	9614.516951	540.2949247
162	9614.516807	540.230993
163	9614.516617	540.1595609
164	9614.516483	540.1020999
165	9614.516311	540.0338111
166	9614.516146	539.9666209
167	9614.51604	539.9201064
168	9614.515903	539.8604098
169	9614.515786	539.8150876
170	9614.515642	539.7661908
171	9614.515507	539.7119361
172	9614.515424	539.6739528
173	9614.515303	539.639374
174	9614.515201	539.5951773
175	9614.515044	539.516867
176	9614.514949	539.4673997
177	9614.514886	539.438502
178	9614.514746	539.3802895
179	9614.514687	539.3554173
180	9614.514555	539.2955367
181	9614.514513	539.2665762
182	9614.514414	539.2049482
183	9614.514336	539.1665039
184	9614.51425	539.1149102
185	9614.514128	539.0551066
186	9614.514037	539.0100663
187	9614.513945	538.973159
188	9614.513902	538.9459434
189	9614.513811	538.8974091
190	9614.513737	538.8375631
191	9614.513638	538.7836069
192	9614.513545	538.7417083
193	9614.51348	538.6997887
194	9614.513366	538.6465228
195	9614.51332	538.6283993
196	9614.5132	538.5743217
197	9614.51313	538.5393582
198	9614.513085	538.5137008
199	9614.513002	538.4749418
200	9614.512957	538.4476394
201	9614.512888	538.4220338
202	9614.512817	538.3848938
203	9614.512788	538.3653466
204	9614.512719	538.3294578
205	9614.512591	538.271647
206	9614.512528	538.2280583
207	9614.512446	538.1810448
208	9614.512334	538.136159
209	9614.512224	538.0772475
210	9614.512139	538.0273623
211	9614.512053	537.9799091
212	9614.511949	537.9176826
213	9614.511911	537.8761195
214	9614.511865	537.8567436
215	9614.511787	537.8066481
216	9614.511695	537.7643008
217	9614.511664	537.7462666
218	9614.511623	537.7126119
219	9614.511594	537.6972938
220	9614.511519	537.6429391
221	9614.511495	537.6192186
222	9614.511403	537.5474833
223	9614.511382	537.5328928
224	9614.511334	537.5056803
225	9614.511246	537.4478638
226	9614.51122	537.4186145
227	9614.511197	537.3822601
228	9614.511112	537.3318346
229	9614.511064	537.2966186
230	9614.510974	537.2494599
231	9614.510904	537.2003173
232	9614.510827	537.1562594
233	9614.510736	537.1142809
234	9614.510661	537.0581182
235	9614.51058	537.0129581
236	9614.51046	536.9566465
237	9614.510458	536.9452436
238	9614.510357	536.8901264
239	9614.51028	536.8402641
240	9614.510215	536.8025023
241	9614.51017	536.7742487
242	9614.510099	536.7447673
243	9614.510072	536.7284266
244	9614.510035	536.7026278
245	9614.509998	536.668744
246	9614.509952	536.6376126
247	9614.509922	536.6180753
248	9614.509871	536.5945486
249	9614.509819	536.5705944
250	9614.509778	536.5305797
251	9614.509759	536.5012556
252	9614.509682	536.4630813
253	9614.509669	536.4547183
254	9614.509575	536.3916844
255	9614.509535	536.354186
256	9614.509476	536.3099101
257	9614.509391	536.2697142
258	9614.509372	536.2473842
259	9614.509329	536.2170792
260	9614.509243	536.1729056
261	9614.509199	536.1413038
262	9614.509142	536.1060015
263	9614.509074	536.0705191
264	9614.509011	536.0300558
265	9614.508935	535.9854428
266	9614.508906	535.9601579
267	9614.508849	535.9281556
268	9614.508837	535.9140035
269	9614.508806	535.8991024
270	9614.508782	535.8851459
271	9614.508697	535.8367559
272	9614.508716	535.8249909
273	9614.508709	535.8181923
274	9614.508671	535.8059898
275	9614.508637	535.7774196
276	9614.508577	535.7317744
277	9614.508542	535.6879466
278	9614.508491	535.6605618
279	9614.508483	535.6418628
280	9614.508462	535.6319254
281	9614.508441	535.597689
282	9614.508396	535.578948
283	9614.508396	535.5702378
284	9614.508354	535.5536724
285	9614.508287	535.5146796
286	9614.508163	535.4525643
287	9614.50814	535.4191818
288	9614.508087	535.3809548
289	9614.508078	535.3572544
290	9614.508044	535.3350862
291	9614.508019	535.3135007
292	9614.508	535.3004448
293	9614.507993	535.2943135
294	9614.507888	535.2356599
295	9614.507825	535.1975953
296	9614.507805	535.1714498
297	9614.507736	535.1078857
298	9614.5077	535.0861136
299	9614.507655	535.0671941
300	9614.507607	535.0356516
301	9614.507582	535.0099036
302	9614.507502	534.9633343
303	9614.507487	534.9322842
304	9614.507451	534.912565
305	9614.507411	534.8751596
306	9614.507376	534.8479351
307	9614.507351	534.8261443
308	9614.50731	534.8103341
309	9614.50729	534.8042865
310	9614.507247	534.7767005
311	9614.507188	534.7393362
312	9614.507095	534.6920168
313	9614.50701	534.641004
314	9614.506967	534.6082231
315	9614.506947	534.5862728
316	9614.506889	534.5428231
317	9614.506868	534.53453
318	9614.506828	534.4904033
319	9614.506799	534.4569593
320	9614.506751	534.4358672
321	9614.506713	534.4153847
322	9614.506672	534.3852201
323	9614.506648	534.3588139
324	9614.506603	534.3248179
325	9614.506564	534.2991458
326	9614.506524	534.2721068
327	9614.506459	534.2359529
328	9614.506429	534.2128664
329	9614.506393	534.1891323
330	9614.50637	534.1787675
331	9614.506352	534.1746102
332	9614.506299	534.1313459
333	9614.506292	534.1266143
334	9614.506269	534.1104708
335	9614.506209	534.0657074
336	9614.506159	534.0422288
337	9614.506154	534.0189826
338	9614.506123	533.9953844
339	9614.506087	533.9749599
340	9614.50607	533.9567314
341	9614.506053	533.9489809
342	9614.506014	533.9208724
343	9614.506008	533.9145623
344	9614.506009	533.8988097
345	9614.505962	533.8616411
346	9614.505918	533.8329219
347	9614.505908	533.8154554
348	9614.505855	533.7853241
349	9614.505819	533.765889
350	9614.505813	533.7553582
351	9614.505812	533.742338
352	9614.505786	533.7104572
353	9614.505786	533.7009821
354	9614.50576	533.6796807
355	9614.505708	533.652828
356	9614.505653	533.6255394
357	9614.505636	533.6164387
358	9614.505632	533.5938168
359	9614.505575	533.5564713
360	9614.505562	533.5457204
361	9614.505548	533.5397202
362	9614.50554	533.5359637
363	9614.505526	533.529937
364	9614.505473	533.5064687
365	9614.505439	533.4730882
366	9614.505401	533.4473726
367	9614.505368	533.434264
368	9614.505324	533.4052021
369	9614.505276	533.3800563
370	9614.505236	533.353691
371	9614.505218	533.3467105
372	9614.505182	533.3213714
373	9614.50518	533.3100535
374	9614.505113	533.2779105
375	9614.5051	533.2664701
376	9614.505077	533.2426467
377	9614.505073	533.2316038
378	9614.505052	533.205639
379	9614.505036	533.180862
380	9614.504972	533.1389833
381	9614.504941	533.1211832
382	9614.504923	533.1054651
383	9614.504845	533.0805962
384	9614.504802	533.0591606
385	9614.50477	533.0245343
386	9614.504742	533.0104928
387	9614.504726	532.990251
388	9614.50471	532.9620487
389	9614.50471	532.9564884
390	9614.504679	532.9289558
391	9614.504651	532.9107261
392	9614.504625	532.8929236
393	9614.5046	532.8814888
394	9614.504537	532.8385849
395	9614.504533	532.8287689
396	9614.50452	532.8167018
397	9614.504516	532.8077778
398	9614.504506	532.7846813
399	9614.504483	532.761768
400	9614.504423	532.736258
401	9614.504388	532.7042754
402	9614.504376	532.6695805
403	9614.504311	532.6444995
404	9614.504286	532.6327822
405	9614.50426	532.6193413
406	9614.50425	532.6127192
407	9614.50423	532.5941804
408	9614.504211	532.5820778
409	9614.504159	532.5625986
410	9614.504121	532.5302118
411	9614.504105	532.5209903
412	9614.504089	532.5106941
413	9614.504025	532.484878
414	9614.503984	532.457197
415	9614.503968	532.4459867
416	9614.503945	532.4308971
417	9614.503941	532.4230397
418	9614.503883	532.3894562
419	9614.503852	532.3684232
420	9614.503841	532.3573017
421	9614.503781	532.3231144
422	9614.503767	532.3077362
423	9614.503754	532.2944859
424	9614.503721	532.2724503
425	9614.503728	532.2575101
426	9614.503691	532.2414355
427	9614.503675	532.2322006
428	9614.50366	532.2156437
429	9614.503644	532.1907125
430	9614.503639	532.1845408
431	9614.503621	532.1733679
432	9614.503591	532.158653
433	9614.503548	532.1297652
434	9614.503541	532.1241336
435	9614.503524	532.1016563
436	9614.503506	532.0813929
437	9614.503487	532.0695794
438	9614.503506	532.0647092
439	9614.503466	532.0324777
440	9614.50342	532.0001135
441	9614.503398	531.9766893
442	9614.503377	531.952587
443	9614.503324	531.922878
444	9614.503288	531.9006879
445	9614.503244	531.8682244
446	9614.503219	531.8567386
447	9614.503203	531.8519385
448	9614.503156	531.8203222
449	9614.503114	531.7859314
450	9614.503082	531.7541489
451	9614.503078	531.7452542
452	9614.503069	531.7402482
453	9614.503062	531.7322332
454	9614.503043	531.7094545
455	9614.502986	531.6749389
456	9614.502932	531.650188
457	9614.502905	531.6314761
458	9614.502873	531.6093796
459	9614.502824	531.5857007
460	9614.502796	531.5694778
461	9614.502767	531.5419763
462	9614.502742	531.5297113
463	9614.502692	531.501559
464	9614.502689	531.4940776
465	9614.502645	531.4578549
466	9614.502628	531.4446972
467	9614.502594	531.4199992
468	9614.502575	531.3979436
469	9614.502565	531.3809875
470	9614.502562	531.3619198
471	9614.502551	531.3486041
472	9614.502528	531.3336777
473	9614.50252	531.3274755
474	9614.502494	531.3123893
475	9614.50248	531.3008606
476	9614.502474	531.2904117
477	9614.502428	531.268696
478	9614.502413	531.2610946
479	9614.502398	531.2477636
480	9614.502368	531.2304876
481	9614.502348	531.216624
482	9614.502342	531.2074227
483	9614.502312	531.1847053
484	9614.502299	531.1468478
485	9614.502287	531.1348255
486	9614.502281	531.1313283
487	9614.50227	531.1258224
488	9614.502212	531.0930057
489	9614.502199	531.0852294
490	9614.502181	531.075824
491	9614.502183	531.0712203
492	9614.502166	531.061565
493	9614.502177	531.0584064
494	9614.502161	531.0416165
495	9614.502139	531.0133376
496	9614.502091	530.984354
497	9614.50204	530.9528267
498	9614.502018	530.9430889
499	9614.502012	530.9227853
500	9614.501985	530.9085595
501	9614.501965	530.8951521
502	9614.501928	530.878794
503	9614.501889	530.8634147
504	9614.501865	530.8449588
505	9614.501863	530.8350055
506	9614.50184	530.818218
507	9614.501815	530.8045488
508	9614.501791	530.7888608
509	9614.50179	530.7800762
510	9614.501772	530.7665194
511	9614.501762	530.7582742
512	9614.501758	530.7490354
513	9614.501722	530.7322896
514	9614.5017	530.717849
515	9614.501667	530.6964854
516	9614.501635	530.6873476
517	9614.501631	530.6764549
518	9614.501596	530.6631135
519	9614.501581	530.6545447
520	9614.501564	530.6423516
521	9614.501559	530.6400794
522	9614.501538	530.6348059
523	9614.50153	530.6048612
524	9614.501508	530.5945744
525	9614.501497	530.5848652
526	9614.501483	530.5766807
527	9614.501467	530.5559024
528	9614.501453	530.5453821
529	9614.501448	530.5357308
530	9614.501438	530.5218732
531	9614.501426	530.511943
532	9614.501413	530.5040874
533	9614.501368	530.4766274
534	9614.501352	530.4638056
535	9614.501335	530.45923
536	9614.501315	530.4423483
537	9614.501309	530.4273665
538	9614.501286	530.4113849
539	9614.501277	530.4052058
540	9614.501241	530.3876058
541	9614.501207	530.3657587
542	9614.501199	530.3589427
543	9614.501166	530.3338588
544	9614.501141	530.3211667
545	9614.501143	530.3135077
546	9614.501099	530.2877647
547	9614.501076	530.2768687
548	9614.501066	530.2681059
549	9614.50101	530.2338678
550	9614.500994	530.2196773
551	9614.500988	530.2104108
552	9614.500949	530.1861216
553	9614.500899	530.1695318
554	9614.500868	530.1504917
555	9614.500837	530.1270079
556	9614.500794	530.1038497
557	9614.500789	530.096849
558	9614.500728	530.0669995
559	9614.500718	530.0518681
560	9614.500712	530.0433503
561	9614.500704	530.0344111
562	9614.500685	530.0149855
563	9614.500654	529.9986212
564	9614.500648	529.9780184
565	9614.500624	529.9453166
566	9614.500604	529.9347523
567	9614.500588	529.915305
568	9614.500588	529.9083225
569	9614.500578	529.9009943
570	9614.500548	529.8918358
571	9614.50054	529.8840287
572	9614.500505	529.8624907
573	9614.500483	529.8522145
574	9614.500477	529.8475949
575	9614.500474	529.844945
576	9614.500428	529.8303713
577	9614.500413	529.8246065
578	9614.500411	529.8185337
579	9614.500398	529.8002507
580	9614.500353	529.7875902
581	9614.50032	529.7617964
582	9614.500312	529.7552795
583	9614.500307	529.7505182
584	9614.500281	529.7396998
585	9614.500263	529.7289957
586	9614.500228	529.7084091
587	9614.500205	529.6961849
588	9614.500184	529.6900246
589	9614.500177	529.6821792
590	9614.500171	529.6737968
591	9614.50015	529.6643498
592	9614.500126	529.6449107
593	9614.500083	529.6197244
594	9614.500078	529.6066446
595	9614.500043	529.5892903
596	9614.500026	529.5789647
597	9614.500021	529.5724946
598	9614.500015	529.5622065
599	9614.500025	529.5554943
600	9614.50002	529.546148
601	9614.500021	529.5362568
602	9614.500004	529.525194
603	9614.499985	529.5097606
604	9614.499984	529.5089267
605	9614.499984	529.5060647
606	9614.499957	529.4913987
607	9614.49994	529.4863393
608	9614.499937	529.4806931
609	9614.499935	529.4781214
610	9614.499929	529.4746111
611	9614.499913	529.4644085
612	9614.499896	529.4548105
613	9614.499892	529.4503959
614	9614.499861	529.4324256
615	9614.499856	529.4292785
616	9614.499851	529.4230505
617	9614.499837	529.4055677
618	9614.499829	529.4010449
619	9614.499826	529.3965337
620	9614.4998	529.3805035
621	9614.499791	529.3730035
622	9614.499773	529.365079
623	9614.499755	529.3400505
624	9614.499733	529.3308817
625	9614.499721	529.3257789
626	9614.499701	529.3133515
627	9614.499695	529.3047062
628	9614.499688	529.2998572
629	9614.499688	529.2990601
630	9614.499682	529.2956207
